role_code,name_ar,name_en,expected_account_type,expected_side,qualifier_meaning_ar,qualifier_meaning_en,status,note_ar,note_en
retention_payable,محتجزات دائنة,Retentions Payable,liability,credit,,,drafted,,
subcontractor_advance,دفعات مقدمة لمقاولين,Advances to Subcontractors,asset,debit,,,drafted,,
contract_revenue,إيراد عقود المقاولات,Construction Contract Revenue,revenue,credit,,,drafted,,
project_material_cost,تكلفة مواد المشاريع,Project Materials Cost,expense,debit,,,drafted,,
subcontractor_cost,تكلفة أعمال المقاولين من الباطن,Subcontractor Works Cost,expense,debit,,,drafted,,
work_in_progress,أعمال تحت التنفيذ,Work in Progress,asset,debit,,,drafted,,
notes_receivable_on_hand,أوراق قبض بالمحفظة,Notes Receivable on Hand,asset,debit,,,drafted,,
notes_receivable_under_collection,أوراق قبض تحت التحصيل,Notes Receivable Under Collection,asset,debit,,,drafted,,
notes_payable,أوراق دفع,Notes Payable,liability,credit,,,drafted,,
deferred_rental_income,إيرادات إيجار مؤجلة,Deferred Rental Income,liability,credit,,,drafted,,
accrued_unbilled_rental_income,إيرادات إيجار مستحقة غير مفوترة,Accrued Unbilled Rental Income,asset,debit,,,drafted,,
rental_revenue,إيراد الإيجار,Rental Revenue,revenue,credit,,,drafted,محكوم بقاعدة الحجب GR-RE-001,Governed by block rule GR-RE-001
property_management_commission_revenue,إيراد عمولة إدارة الأملاك,Property Management Commission Revenue,revenue,credit,,,drafted,,
late_payment_penalty_revenue,إيراد غرامات التأخير,Late Payment Penalty Revenue,revenue,credit,,,drafted,⚠️ معالجته الضريبية غير محسومة,⚠️ Its VAT treatment is unresolved
deposit_forfeiture_revenue,إيراد مصادرة التأمينات,Deposit Forfeiture Revenue,revenue,credit,,,drafted,⚠️ نموذج الملكية الذاتية فقط ومعالجته الضريبية غير محسومة,⚠️ Own-property model only and its VAT treatment is unresolved
utilities_recharge_revenue,إيراد إعادة تحميل المرافق,Utilities Recharge Revenue,revenue,credit,,,drafted,⚠️ تصنيفه الضريبي غير محسوم,⚠️ Its VAT classification is unresolved
leasing_commission_revenue,إيراد عمولة التسويق والتأجير,Leasing Commission Revenue,revenue,credit,,,drafted,,
tenant_deposit_refundable,تأمينات مستأجرين مستردة,Refundable Tenant Deposits,liability,credit,,,drafted,,
tenant_deposit_held_for_owner,تأمينات مستأجرين لصالح المالك,Tenant Deposits Held for Owner,liability,credit,,,drafted,,
owner_trust_payable,أمانات الملاك,Owner Trust Payable,liability,credit,,,drafted,,
unallocated_tenant_collections,تحصيلات مستأجرين غير مخصصة,Unallocated Tenant Collections,liability,credit,,,drafted,,
property_operating_cost,تكلفة تشغيل وصيانة العقارات,Property Operating Cost,expense,debit,,,drafted,,
property_common_utilities,مرافق العقارات المشتركة,Property Common Utilities,expense,debit,,,drafted,,
property_fees_and_licences,رسوم وتراخيص عقارية,Real Estate Fees and Licences,expense,debit,,,drafted,⚠️ ضريبة التصرفات العقارية غير مؤكدة,⚠️ The real estate transaction tax is unverified
leasing_commission_expense,عمولات تسويق وتأجير مدفوعة,Leasing Commission Expense,expense,debit,,,drafted,,
investment_property_cost,عقارات استثمارية — التكلفة,Investment Property Cost,asset,debit,,,drafted,,
investment_property_accumulated_depreciation,مجمع إهلاك العقارات الاستثمارية,Investment Property Accumulated Depreciation,asset,credit,,,drafted,,
investment_property_depreciation_expense,مصروف إهلاك العقارات الاستثمارية,Investment Property Depreciation Expense,expense,debit,,,drafted,,
real_estate_inventory,مخزون عقاري,Real Estate Inventory,asset,debit,,,drafted,,
doubtful_debt_allowance_customers,مخصص ديون العملاء,Customer Doubtful Debt Allowance,asset,credit,,,proposed,,
doubtful_debt_allowance_tenants,مخصص ديون المستأجرين,Tenant Doubtful Debt Allowance,asset,credit,,,drafted,,
doubtful_debt_expense,مصروف مخصص الديون المشكوك فيها,Doubtful Debt Provision Expense,expense,debit,,,drafted,,
fixed_asset_cost,الأصول الثابتة — التكلفة,Fixed Assets Cost,asset,debit,مجموعة الأصل,Asset group,drafted,,
accumulated_depreciation,مجمع إهلاك الأصول الثابتة,Accumulated Depreciation,asset,credit,مجموعة الأصل,Asset group,drafted,,
depreciation_expense,مصروف الإهلاك,Depreciation Expense,expense,debit,مجموعة الأصل,Asset group,drafted,,
asset_disposal_gain,أرباح استبعاد الأصول,Gain on Asset Disposal,revenue,credit,,,drafted,,
asset_disposal_loss,خسائر استبعاد الأصول,Loss on Asset Disposal,expense,debit,,,drafted,,
salaries_expense,مصروف الرواتب والأجور,Salaries Expense,expense,debit,,,drafted,,
employer_social_insurance_expense,مصروف حصة المنشأة في التأمينات,Employer Social Insurance Expense,expense,debit,,,drafted,,
salaries_payable,رواتب مستحقة الدفع,Salaries Payable,liability,credit,,,drafted,,
social_insurance_payable,تأمينات اجتماعية مستحقة,Social Insurance Payable,liability,credit,,,drafted,,
payroll_deductions_payable,خصومات وجزاءات مستحقة,Payroll Deductions Payable,liability,credit,,,drafted,,
employee_advance,سلف وعهد الموظفين,Employee Advances,asset,debit,,,drafted,,
eos_provision,مخصص مكافأة نهاية الخدمة,End of Service Provision,liability,credit,,,drafted,,
eos_expense,مصروف مكافأة نهاية الخدمة,End of Service Expense,expense,debit,,,drafted,,
operating_expense,حساب المصروف التشغيلي,Operating Expense Account,expense,debit,تصنيف المصروف: rent · utilities · repairs · fuel · insurance · gov_fees · professional_fees · marketing · travel · office · it · settlement_discount,Expense category,drafted,يُحل من تصنيف بند المصروف على المستند,Resolved from the expense category on the document line
inventory_shortage_expense,عجز وتلف المخزون,Inventory Shortage Expense,expense,debit,,,drafted,,
cash_over_short,عجز وزيادة الصندوق,Cash Over and Short,expense,debit,,,drafted,,
bank_charges,مصروفات بنكية,Bank Charges,expense,debit,,,drafted,,
fx_gain,أرباح فروق العملة,Foreign Exchange Gain,revenue,credit,,,drafted,,
fx_loss,خسائر فروق العملة,Foreign Exchange Loss,expense,debit,,,drafted,,
retained_earnings,الأرباح المبقاة,Retained Earnings,equity,credit,,,drafted,,
opening_balance_suspense,حساب تسوية الأرصدة الافتتاحية,Opening Balance Suspense,equity,credit,,,proposed,,
other_income,إيرادات أخرى,Other Income,revenue,credit,,,drafted,,
other_expense,مصروفات أخرى,Other Expenses,expense,debit,,,drafted,,
inventory_obsolescence_allowance,مخصص تقادم المخزون,Inventory Obsolescence Allowance,asset,credit,,,proposed,وحدة المخزون بلا وثيقة تحليل,The inventory module has no analysis document
inventory_obsolescence_expense,مصروف مخصص تقادم المخزون,Inventory Obsolescence Expense,expense,debit,,,proposed,وحدة المخزون بلا وثيقة تحليل,The inventory module has no analysis document
